Date,Symbol,Open,High,Low,Close,Volume
11/30/2022 18:00,^BTCUSD,"17,165.74","17,165.82","17,163.51","17,163.69",8
11/30/2022 18:01,^BTCUSD,"17,163.69","17,167.11","17,163.33","17,167.11",9
11/30/2022 18:02,^BTCUSD,"17,167.11","17,168.13","17,167.11","17,168.13",12
11/30/2022 18:03,^BTCUSD,"17,167.66","17,168.71","17,162.27","17,168.71",13
11/30/2022 18:04,^BTCUSD,"17,168.70","17,169.09","17,168.70","17,169.02",9
11/30/2022 18:05,^BTCUSD,"17,168.81","17,168.81","17,157.75","17,158.08",15
11/30/2022 18:06,^BTCUSD,"17,157.71","17,157.71","17,154.90","17,154.90",14
11/30/2022 18:07,^BTCUSD,"17,151.28","17,151.28","17,140.92","17,143.18",14
11/30/2022 18:08,^BTCUSD,"17,144.62","17,171.51","17,144.62","17,171.42",14
11/30/2022 18:09,^BTCUSD,"17,171.23","17,174.06","17,169.00","17,170.48",17
11/30/2022 18:10,^BTCUSD,"17,170.51","17,170.51","17,168.45","17,170.41",17
11/30/2022 18:11,^BTCUSD,"17,170.50","17,178.19","17,170.50","17,178.19",16
11/30/2022 18:12,^BTCUSD,"17,178.19","17,182.71","17,178.19","17,182.71",16
11/30/2022 18:13,^BTCUSD,"17,182.83","17,183.12","17,182.69","17,182.75",13
11/30/2022 18:14,^BTCUSD,"17,182.82","17,184.33","17,182.25","17,183.78",12
11/30/2022 18:15,^BTCUSD,"17,183.99","17,185.47","17,183.64","17,185.47",13
11/30/2022 18:16,^BTCUSD,"17,189.30","17,199.63","17,189.30","17,199.63",15
11/30/2022 18:17,^BTCUSD,"17,199.71","17,213.57","17,199.71","17,212.19",15
11/30/2022 18:18,^BTCUSD,"17,212.19","17,214.29","17,205.20","17,205.20",15
11/30/2022 18:19,^BTCUSD,"17,199.51","17,199.51","17,179.26","17,179.26",17
11/30/2022 18:20,^BTCUSD,"17,179.26","17,185.22","17,176.41","17,185.22",13
11/30/2022 18:21,^BTCUSD,"17,197.70","17,209.03","17,197.70","17,201.17",15
11/30/2022 18:22,^BTCUSD,"17,201.17","17,201.18","17,196.55","17,197.46",14
11/30/2022 18:23,^BTCUSD,"17,197.46","17,220.62","17,197.45","17,211.56",13
11/30/2022 18:24,^BTCUSD,"17,211.62","17,211.62","17,202.42","17,203.01",12
11/30/2022 18:25,^BTCUSD,"17,203.01","17,203.01","17,198.04","17,202.41",15
11/30/2022 18:26,^BTCUSD,"17,202.40","17,203.43","17,197.27","17,197.69",14
11/30/2022 18:27,^BTCUSD,"17,198.01","17,206.73","17,198.01","17,199.47",15
11/30/2022 18:28,^BTCUSD,"17,199.24","17,199.24","17,195.39","17,195.45",10
11/30/2022 18:29,^BTCUSD,"17,197.94","17,199.83","17,195.85","17,199.44",18
11/30/2022 18:30,^BTCUSD,"17,199.14","17,204.64","17,199.13","17,204.30",14
11/30/2022 18:31,^BTCUSD,"17,204.10","17,204.10","17,188.14","17,191.60",15
11/30/2022 18:32,^BTCUSD,"17,189.97","17,191.44","17,186.18","17,187.16",16
11/30/2022 18:33,^BTCUSD,"17,183.90","17,183.90","17,178.72","17,178.72",12
11/30/2022 18:34,^BTCUSD,"17,177.84","17,177.84","17,172.09","17,177.18",12
11/30/2022 18:35,^BTCUSD,"17,176.21","17,176.21","17,172.28","17,172.29",14
11/30/2022 18:36,^BTCUSD,"17,172.66","17,172.66","17,170.91","17,171.01",16
11/30/2022 18:37,^BTCUSD,"17,171.03","17,175.21","17,171.03","17,173.74",13
11/30/2022 18:38,^BTCUSD,"17,176.14","17,176.17","17,169.22","17,169.37",17
11/30/2022 18:39,^BTCUSD,"17,169.37","17,173.20","17,169.37","17,171.50",14
11/30/2022 18:40,^BTCUSD,"17,171.43","17,171.62","17,170.50","17,171.26",11
11/30/2022 18:41,^BTCUSD,"17,167.37","17,167.37","17,159.35","17,164.38",17
11/30/2022 18:42,^BTCUSD,"17,164.17","17,170.90","17,164.17","17,170.90",12
11/30/2022 18:43,^BTCUSD,"17,169.35","17,169.35","17,158.33","17,158.40",17
11/30/2022 18:44,^BTCUSD,"17,157.93","17,158.81","17,156.68","17,158.21",14
11/30/2022 18:45,^BTCUSD,"17,157.82","17,161.96","17,155.77","17,161.37",16
11/30/2022 18:46,^BTCUSD,"17,161.31","17,166.70","17,161.16","17,165.94",15
11/30/2022 18:47,^BTCUSD,"17,166.19","17,171.08","17,165.93","17,171.08",19
11/30/2022 18:48,^BTCUSD,"17,171.93","17,173.83","17,171.93","17,173.55",11
11/30/2022 18:49,^BTCUSD,"17,172.32","17,172.59","17,166.65","17,166.68",20
11/30/2022 18:50,^BTCUSD,"17,166.68","17,166.69","17,164.89","17,165.14",9
11/30/2022 18:51,^BTCUSD,"17,164.57","17,164.62","17,149.73","17,152.54",16
11/30/2022 18:52,^BTCUSD,"17,152.30","17,152.36","17,148.35","17,148.90",15
11/30/2022 18:53,^BTCUSD,"17,151.03","17,151.03","17,140.72","17,145.91",13
11/30/2022 18:54,^BTCUSD,"17,146.18","17,146.18","17,136.84","17,137.22",15
11/30/2022 18:55,^BTCUSD,"17,137.22","17,143.35","17,133.79","17,143.35",13
11/30/2022 18:56,^BTCUSD,"17,143.38","17,151.68","17,143.34","17,151.62",13
11/30/2022 18:57,^BTCUSD,"17,151.62","17,156.49","17,151.62","17,155.67",12
11/30/2022 18:58,^BTCUSD,"17,156.30","17,161.46","17,156.30","17,157.61",16
11/30/2022 18:59,^BTCUSD,"17,157.61","17,160.83","17,157.60","17,160.54",16
11/30/2022 19:00,^BTCUSD,"17,160.27","17,161.30","17,158.65","17,159.61",9
11/30/2022 19:01,^BTCUSD,"17,159.37","17,159.37","17,152.50","17,153.97",10
11/30/2022 19:02,^BTCUSD,"17,153.35","17,154.86","17,151.88","17,152.21",19
11/30/2022 19:03,^BTCUSD,"17,153.65","17,153.65","17,148.10","17,151.51",17
11/30/2022 19:04,^BTCUSD,"17,151.50","17,156.11","17,151.50","17,153.96",15
11/30/2022 19:05,^BTCUSD,"17,151.25","17,158.88","17,151.25","17,158.79",13
11/30/2022 19:06,^BTCUSD,"17,158.73","17,161.85","17,157.37","17,157.37",21
11/30/2022 19:07,^BTCUSD,"17,156.12","17,156.20","17,152.07","17,152.07",14
11/30/2022 19:08,^BTCUSD,"17,152.08","17,154.74","17,148.07","17,148.07",18
11/30/2022 19:09,^BTCUSD,"17,148.06","17,148.89","17,146.45","17,148.08",21
11/30/2022 19:10,^BTCUSD,"17,148.08","17,149.92","17,146.58","17,147.08",12
11/30/2022 19:11,^BTCUSD,"17,147.10","17,147.19","17,138.67","17,138.67",14
11/30/2022 19:12,^BTCUSD,"17,137.51","17,139.14","17,134.41","17,135.56",15
11/30/2022 19:13,^BTCUSD,"17,135.56","17,142.23","17,135.56","17,142.07",13
11/30/2022 19:14,^BTCUSD,"17,142.27","17,147.06","17,142.27","17,146.62",16
11/30/2022 19:15,^BTCUSD,"17,146.43","17,147.52","17,145.21","17,147.52",14
11/30/2022 19:16,^BTCUSD,"17,147.60","17,148.84","17,146.07","17,146.07",15
11/30/2022 19:17,^BTCUSD,"17,144.98","17,148.89","17,140.77","17,148.89",18
11/30/2022 19:18,^BTCUSD,"17,149.00","17,156.29","17,148.36","17,151.99",15
11/30/2022 19:19,^BTCUSD,"17,150.59","17,151.93","17,143.69","17,143.69",13
11/30/2022 19:20,^BTCUSD,"17,143.42","17,143.42","17,139.72","17,140.98",14
11/30/2022 19:21,^BTCUSD,"17,141.07","17,141.45","17,139.06","17,140.29",14
11/30/2022 19:22,^BTCUSD,"17,141.96","17,142.60","17,141.75","17,142.22",17
11/30/2022 19:23,^BTCUSD,"17,141.66","17,145.80","17,141.66","17,145.04",22
11/30/2022 19:24,^BTCUSD,"17,144.31","17,144.45","17,138.38","17,138.38",18
11/30/2022 19:25,^BTCUSD,"17,138.91","17,140.17","17,130.86","17,130.86",16
11/30/2022 19:26,^BTCUSD,"17,123.78","17,123.78","17,120.43","17,120.83",14
11/30/2022 19:27,^BTCUSD,"17,120.84","17,124.63","17,120.72","17,124.63",17
11/30/2022 19:28,^BTCUSD,"17,124.11","17,124.11","17,117.85","17,117.90",19
11/30/2022 19:29,^BTCUSD,"17,117.90","17,124.07","17,117.90","17,123.70",13
11/30/2022 19:30,^BTCUSD,"17,124.18","17,126.67","17,123.68","17,124.61",19
11/30/2022 19:31,^BTCUSD,"17,123.59","17,126.08","17,123.42","17,125.55",16
11/30/2022 19:32,^BTCUSD,"17,125.55","17,127.64","17,124.64","17,126.57",14
11/30/2022 19:33,^BTCUSD,"17,126.04","17,128.40","17,126.04","17,128.38",15
11/30/2022 19:34,^BTCUSD,"17,126.87","17,129.29","17,126.87","17,128.85",18
11/30/2022 19:35,^BTCUSD,"17,128.38","17,130.52","17,128.38","17,129.27",13
11/30/2022 19:36,^BTCUSD,"17,129.31","17,131.38","17,129.28","17,129.84",13
11/30/2022 19:37,^BTCUSD,"17,128.54","17,128.82","17,123.98","17,127.14",20
11/30/2022 19:38,^BTCUSD,"17,126.48","17,134.99","17,126.48","17,133.26",16
11/30/2022 19:39,^BTCUSD,"17,134.01","17,134.01","17,129.00","17,130.50",18
11/30/2022 19:40,^BTCUSD,"17,130.50","17,133.51","17,130.50","17,133.13",16
11/30/2022 19:41,^BTCUSD,"17,132.04","17,133.35","17,130.14","17,130.86",8
11/30/2022 19:42,^BTCUSD,"17,130.81","17,131.54","17,129.82","17,129.82",21
11/30/2022 19:43,^BTCUSD,"17,129.71","17,135.35","17,129.39","17,134.72",17
11/30/2022 19:44,^BTCUSD,"17,134.49","17,134.73","17,133.36","17,134.15",14
11/30/2022 19:45,^BTCUSD,"17,134.82","17,134.82","17,128.81","17,129.31",11
11/30/2022 19:46,^BTCUSD,"17,129.10","17,131.93","17,127.74","17,131.93",12
11/30/2022 19:47,^BTCUSD,"17,132.61","17,133.01","17,130.21","17,130.25",13
11/30/2022 19:48,^BTCUSD,"17,129.89","17,129.89","17,125.27","17,126.74",18
11/30/2022 19:49,^BTCUSD,"17,132.62","17,134.52","17,132.62","17,133.05",17
11/30/2022 19:50,^BTCUSD,"17,133.00","17,134.12","17,128.30","17,128.32",17
11/30/2022 19:51,^BTCUSD,"17,128.37","17,129.82","17,125.70","17,128.53",17
11/30/2022 19:52,^BTCUSD,"17,128.47","17,131.51","17,128.47","17,130.67",20
11/30/2022 19:53,^BTCUSD,"17,131.50","17,132.26","17,130.96","17,130.97",16
11/30/2022 19:54,^BTCUSD,"17,130.39","17,130.39","17,127.14","17,127.14",22
11/30/2022 19:55,^BTCUSD,"17,127.23","17,127.25","17,116.71","17,118.94",17
11/30/2022 19:56,^BTCUSD,"17,118.94","17,119.57","17,116.49","17,117.26",17
11/30/2022 19:57,^BTCUSD,"17,117.35","17,120.94","17,117.29","17,118.60",22
