Date,Symbol,Open,High,Low,Close,Volume
12/5/2022 9:30,SNOW,147.98,148.24,147.34,147.85,77453
12/5/2022 9:31,SNOW,148,148.94,147.83,148.27,26074
12/5/2022 9:32,SNOW,148.25,148.45,147.15,147.32,29456
12/5/2022 9:33,SNOW,147.36,147.4,145.75,146.07,35894
12/5/2022 9:34,SNOW,145.99,146.08,145.23,145.39,47071
12/5/2022 9:35,SNOW,145.34,145.5,144.62,145.5,85310
12/5/2022 9:36,SNOW,145.48,145.81,144.96,144.96,54534
12/5/2022 9:37,SNOW,144.87,146.18,144.85,145.37,57177
12/5/2022 9:38,SNOW,145.36,145.43,144.7,145.17,27412
12/5/2022 9:39,SNOW,145.27,145.27,144.3,144.41,56797
12/5/2022 9:40,SNOW,144.44,144.91,143.78,143.84,56900
12/5/2022 9:41,SNOW,143.84,144.16,143.13,143.3,38438
12/5/2022 9:42,SNOW,143.22,143.69,143.06,143.35,34682
12/5/2022 9:43,SNOW,143.35,143.82,143.08,143.81,28216
12/5/2022 9:44,SNOW,143.85,143.91,143.39,143.91,40521
12/5/2022 9:45,SNOW,143.9,144.17,143.7,143.82,27971
12/5/2022 9:46,SNOW,143.85,143.85,143.27,143.5,26671
12/5/2022 9:47,SNOW,143.43,143.7,142.81,143.05,41238
12/5/2022 9:48,SNOW,143.08,143.39,142.93,143.12,19288
12/5/2022 9:49,SNOW,143.07,143.8,142.8,143.4,31247
12/5/2022 9:50,SNOW,143.33,143.51,143.08,143.15,11505
12/5/2022 9:51,SNOW,143.15,143.15,142.58,142.58,28530
12/5/2022 9:52,SNOW,142.65,142.8,142.3,142.68,16782
12/5/2022 9:53,SNOW,142.6,142.74,142.3,142.46,17790
12/5/2022 9:54,SNOW,142.45,142.75,142.43,142.61,18832
12/5/2022 9:55,SNOW,142.69,142.75,142.3,142.31,23494
12/5/2022 9:56,SNOW,142.37,142.37,141.86,142,32233
12/5/2022 9:57,SNOW,142.05,142.08,141.5,141.6,24387
12/5/2022 9:58,SNOW,141.66,141.79,141.5,141.59,19820
12/5/2022 9:59,SNOW,141.58,141.8,141.53,141.73,15603
12/5/2022 10:00,SNOW,141.63,141.63,140.79,141.09,51349
12/5/2022 10:01,SNOW,141.02,141.08,140.64,140.8,28854
12/5/2022 10:02,SNOW,140.67,140.87,140.36,140.49,42793
12/5/2022 10:03,SNOW,140.41,141.55,140.36,141.27,49567
12/5/2022 10:04,SNOW,141.46,141.69,141.2,141.59,33827
12/5/2022 10:05,SNOW,141.65,141.96,141.5,141.91,43074
12/5/2022 10:06,SNOW,141.9,142.2,141.67,141.88,30982
12/5/2022 10:07,SNOW,141.93,142.03,141.57,141.75,24838
12/5/2022 10:08,SNOW,141.62,141.86,141.2,141.39,40608
12/5/2022 10:09,SNOW,141.34,141.43,140.76,140.76,26700
12/5/2022 10:10,SNOW,140.78,141.4,140.75,141.18,48450
12/5/2022 10:11,SNOW,141.07,141.59,141.03,141.14,45293
12/5/2022 10:12,SNOW,141.14,141.5,141.02,141.39,15888
12/5/2022 10:13,SNOW,141.37,141.48,141.21,141.48,14620
12/5/2022 10:14,SNOW,141.34,141.78,141.32,141.57,28586
12/5/2022 10:15,SNOW,141.47,141.63,140.55,140.62,38314
12/5/2022 10:16,SNOW,140.63,141.18,140.5,140.59,27253
12/5/2022 10:17,SNOW,140.51,140.86,140.51,140.7,22332
12/5/2022 10:18,SNOW,140.7,140.82,140.66,140.71,14367
12/5/2022 10:19,SNOW,140.65,140.65,140.41,140.5,29575
12/5/2022 10:20,SNOW,140.56,140.68,140.21,140.21,22418
12/5/2022 10:21,SNOW,140.21,140.47,140.12,140.29,25873
12/5/2022 10:22,SNOW,140.23,140.58,140.23,140.38,11275
12/5/2022 10:23,SNOW,140.42,140.73,140.42,140.73,14868
12/5/2022 10:24,SNOW,140.69,140.91,140.64,140.81,14584
12/5/2022 10:25,SNOW,140.75,140.76,140.4,140.47,12637
12/5/2022 10:26,SNOW,140.5,141.22,140.49,141.15,23082
12/5/2022 10:27,SNOW,141.23,141.49,141.02,141.22,30332
12/5/2022 10:28,SNOW,141.29,141.35,141.02,141.15,14572
12/5/2022 10:29,SNOW,141.07,141.2,140.74,140.89,28083
12/5/2022 10:30,SNOW,140.8,140.82,140.3,140.38,26491
12/5/2022 10:31,SNOW,140.36,140.6,140.36,140.58,10684
12/5/2022 10:32,SNOW,140.63,140.85,140.58,140.69,16066
12/5/2022 10:33,SNOW,140.71,140.98,140.58,140.76,16810
12/5/2022 10:34,SNOW,140.69,140.71,140.46,140.59,18409
12/5/2022 10:35,SNOW,140.49,140.85,140.35,140.85,15369
12/5/2022 10:36,SNOW,140.84,141.21,140.83,141.2,19701
12/5/2022 10:37,SNOW,141.11,141.25,141.04,141.1,25221
12/5/2022 10:38,SNOW,141.01,141.12,140.95,140.99,10368
12/5/2022 10:39,SNOW,141.05,141.42,140.99,141.32,18558
12/5/2022 10:40,SNOW,141.32,141.68,141.32,141.63,31556
12/5/2022 10:41,SNOW,141.62,142.15,141.62,142.08,39041
12/5/2022 10:42,SNOW,142.17,142.24,142.05,142.18,22335
12/5/2022 10:43,SNOW,142.2,142.45,142.02,142.22,9797
12/5/2022 10:44,SNOW,142.21,142.45,142.19,142.29,6861
12/5/2022 10:45,SNOW,142.26,142.74,142.24,142.7,31578
12/5/2022 10:46,SNOW,142.65,142.83,142.61,142.76,18224
12/5/2022 10:47,SNOW,142.71,142.95,142.55,142.76,26645
12/5/2022 10:48,SNOW,142.56,142.75,142.43,142.46,14726
12/5/2022 10:49,SNOW,142.53,142.54,142.17,142.27,10342
12/5/2022 10:50,SNOW,142.21,142.47,142.1,142.3,13869
12/5/2022 10:51,SNOW,142.26,142.72,142.17,142.44,13163
12/5/2022 10:52,SNOW,142.43,142.46,142.28,142.32,14605
12/5/2022 10:53,SNOW,142.35,142.39,141.8,141.98,20480
12/5/2022 10:54,SNOW,141.95,141.95,141.65,141.67,13393
12/5/2022 10:55,SNOW,141.69,141.99,141.69,141.87,5292
12/5/2022 10:56,SNOW,141.99,141.99,141.34,141.52,11074
12/5/2022 10:57,SNOW,141.47,141.83,141.46,141.74,13870
12/5/2022 10:58,SNOW,141.75,141.75,141.48,141.63,6851
12/5/2022 10:59,SNOW,141.75,141.88,141.5,141.65,6708
12/5/2022 11:00,SNOW,141.64,141.71,141.46,141.55,8038
12/5/2022 11:01,SNOW,141.54,141.96,141.5,141.89,18450
12/5/2022 11:02,SNOW,141.82,142.02,141.56,141.99,18323
12/5/2022 11:03,SNOW,142.04,142.07,141.9,141.93,11904
12/5/2022 11:04,SNOW,141.99,142,141.75,141.81,7641
12/5/2022 11:05,SNOW,141.87,141.93,141.72,141.85,6037
12/5/2022 11:06,SNOW,141.93,141.97,141.61,141.62,5526
12/5/2022 11:07,SNOW,141.68,141.86,141.49,141.65,23335
12/5/2022 11:08,SNOW,141.68,141.79,141.65,141.75,3651
12/5/2022 11:09,SNOW,141.81,141.88,141.59,141.68,8692
12/5/2022 11:10,SNOW,141.7,141.77,141.46,141.76,8362
12/5/2022 11:11,SNOW,141.73,141.93,141.73,141.93,8616
12/5/2022 11:12,SNOW,141.94,142.28,141.87,142.07,23443
12/5/2022 11:13,SNOW,142.06,142.26,141.87,141.87,9490
12/5/2022 11:14,SNOW,141.82,141.86,141.18,141.18,32136
12/5/2022 11:15,SNOW,141.21,141.38,141.02,141.33,28386
12/5/2022 11:16,SNOW,141.29,141.38,141.12,141.16,6326
12/5/2022 11:17,SNOW,141.18,141.22,140.77,140.77,11373
12/5/2022 11:18,SNOW,140.79,140.83,140.52,140.75,16345
12/5/2022 11:19,SNOW,140.61,140.85,140.53,140.71,7842
12/5/2022 11:20,SNOW,140.76,140.79,140.65,140.75,11972
12/5/2022 11:21,SNOW,140.79,140.83,140.56,140.66,14768
12/5/2022 11:22,SNOW,140.66,140.88,140.59,140.77,15297
12/5/2022 11:23,SNOW,140.7,140.78,140.52,140.74,30836
12/5/2022 11:24,SNOW,140.77,140.81,140.62,140.74,9315
12/5/2022 11:25,SNOW,140.66,140.66,140.21,140.26,18242
12/5/2022 11:26,SNOW,140.22,140.35,140.06,140.06,18315
12/5/2022 11:27,SNOW,140.11,140.28,140.05,140.21,26818
12/5/2022 11:28,SNOW,140.24,140.43,140.2,140.41,15598
12/5/2022 11:29,SNOW,140.41,140.41,140.21,140.25,14591
12/5/2022 11:30,SNOW,140.3,140.3,139.88,139.92,40594
12/5/2022 11:31,SNOW,139.94,139.96,139.71,139.91,17006
12/5/2022 11:32,SNOW,139.87,139.99,139.71,139.96,13628
12/5/2022 11:33,SNOW,139.98,139.99,139.81,139.9,9056
12/5/2022 11:34,SNOW,139.85,139.91,139.75,139.76,13485
12/5/2022 11:35,SNOW,139.7,139.74,139.46,139.52,17872
12/5/2022 11:36,SNOW,139.5,139.68,139.5,139.62,14265
12/5/2022 11:37,SNOW,139.65,139.77,139.61,139.73,7653
12/5/2022 11:38,SNOW,139.68,139.83,139.6,139.8,10958
12/5/2022 11:39,SNOW,139.8,139.83,139.54,139.57,6650
12/5/2022 11:40,SNOW,139.55,139.55,139.22,139.28,31234
12/5/2022 11:41,SNOW,139.3,139.46,139.28,139.3,25228
12/5/2022 11:42,SNOW,139.29,139.3,138.88,138.89,32840
12/5/2022 11:43,SNOW,138.85,139.13,138.78,138.99,32977
12/5/2022 11:44,SNOW,139,139.1,138.93,138.93,10220
12/5/2022 11:45,SNOW,138.93,139.22,138.93,139.09,16258
12/5/2022 11:46,SNOW,139.07,139.08,138.98,139.02,11328
12/5/2022 11:47,SNOW,139.01,139.04,138.86,138.89,13248
12/5/2022 11:48,SNOW,138.92,139.08,138.86,138.95,12773
12/5/2022 11:49,SNOW,138.91,138.95,138.76,138.83,22043
12/5/2022 11:50,SNOW,138.83,139.12,138.83,139.12,26222
12/5/2022 11:51,SNOW,139.09,139.13,138.95,138.98,18346
12/5/2022 11:52,SNOW,138.99,139.01,138.69,138.75,38085
12/5/2022 11:53,SNOW,138.71,138.95,138.7,138.86,27264
12/5/2022 11:54,SNOW,138.86,138.9,138.75,138.88,7627
12/5/2022 11:55,SNOW,138.84,138.95,138.76,138.81,10610
12/5/2022 11:56,SNOW,138.81,138.83,138.38,138.46,22120
12/5/2022 11:57,SNOW,138.39,138.42,138.17,138.17,29593
12/5/2022 11:58,SNOW,138.17,138.24,137.88,137.89,50173
12/5/2022 11:59,SNOW,137.9,138.05,137.84,138.04,18951
12/5/2022 12:00,SNOW,137.98,138.08,137.91,137.98,36287
12/5/2022 12:01,SNOW,137.97,138.01,137.91,137.97,9467
12/5/2022 12:02,SNOW,138.01,138.01,137.84,137.97,9404
12/5/2022 12:03,SNOW,137.94,138.19,137.92,138.12,11172
12/5/2022 12:04,SNOW,138.11,138.11,137.71,137.76,15724
12/5/2022 12:05,SNOW,137.8,137.92,137.6,137.92,26636
12/5/2022 12:06,SNOW,137.93,138.12,137.91,138.07,14532
12/5/2022 12:07,SNOW,138,138.15,137.95,138.15,4814
12/5/2022 12:08,SNOW,138.19,138.19,137.99,138.02,7942
12/5/2022 12:09,SNOW,138.01,138.14,137.98,138.1,14029
12/5/2022 12:10,SNOW,138.08,138.58,137.9,138.58,21434
12/5/2022 12:11,SNOW,138.53,138.58,138.39,138.58,12099
12/5/2022 12:12,SNOW,138.6,138.8,138.6,138.75,10813
12/5/2022 12:13,SNOW,138.68,138.86,138.62,138.79,16309
12/5/2022 12:14,SNOW,138.77,139.07,138.69,139.03,13479
12/5/2022 12:15,SNOW,139,139.33,138.95,139.16,17416
12/5/2022 12:16,SNOW,139.19,139.19,138.94,139.05,15404
12/5/2022 12:17,SNOW,139.08,139.17,138.94,139.04,13016
12/5/2022 12:18,SNOW,139.05,139.05,138.65,138.71,11029
12/5/2022 12:19,SNOW,138.75,138.79,138.54,138.57,9680
12/5/2022 12:20,SNOW,138.65,138.76,138.47,138.63,12911
12/5/2022 12:21,SNOW,138.62,138.62,138.41,138.61,9758
12/5/2022 12:22,SNOW,138.7,138.79,138.69,138.75,9210
12/5/2022 12:23,SNOW,138.79,138.96,138.72,138.88,27754
12/5/2022 12:24,SNOW,138.92,139.23,138.9,139.23,14165
12/5/2022 12:25,SNOW,139.24,139.34,139.01,139.02,14677
12/5/2022 12:26,SNOW,139.01,139.3,139.01,139.28,10300
12/5/2022 12:27,SNOW,139.28,139.28,139.16,139.2,10986
12/5/2022 12:28,SNOW,139.19,139.27,138.65,138.77,19885
12/5/2022 12:29,SNOW,138.79,138.85,138.7,138.7,3360
12/5/2022 12:30,SNOW,138.7,138.7,138.5,138.66,4980
12/5/2022 12:31,SNOW,138.63,138.71,138.59,138.69,5482
12/5/2022 12:32,SNOW,138.7,138.71,138.24,138.48,17718
12/5/2022 12:33,SNOW,138.44,138.55,138.4,138.4,6550
12/5/2022 12:34,SNOW,138.41,138.41,138.13,138.16,8647
12/5/2022 12:35,SNOW,138.2,138.31,138.2,138.31,13145
12/5/2022 12:36,SNOW,138.3,138.43,138.28,138.32,13277
12/5/2022 12:37,SNOW,138.35,138.46,138.3,138.42,5255
12/5/2022 12:38,SNOW,138.38,138.4,137.9,137.9,29623
12/5/2022 12:39,SNOW,137.9,138.15,137.9,138.08,5401
12/5/2022 12:40,SNOW,138.08,138.09,138,138.02,3045
12/5/2022 12:41,SNOW,138.02,138.08,137.85,137.85,13131
12/5/2022 12:42,SNOW,137.85,137.89,137.6,137.76,18388
12/5/2022 12:43,SNOW,137.76,137.8,137.55,137.63,14669
12/5/2022 12:44,SNOW,137.66,137.66,137.48,137.5,13360
12/5/2022 12:45,SNOW,137.54,137.73,137.54,137.73,15102
12/5/2022 12:46,SNOW,137.73,137.79,137.6,137.65,8262
12/5/2022 12:47,SNOW,137.61,137.69,137.6,137.6,3998
12/5/2022 12:48,SNOW,137.6,137.72,137.54,137.71,4476
12/5/2022 12:49,SNOW,137.64,137.87,137.64,137.86,21427
